,Name,Product Description,Product Price,Product Return,Product Delivery,Product Avail,Product URL
298,Guitar,"Guitar Tailpiece, Guitars Bridge Tailpiece Alloy for Replacement (Gold)","1,399.",-,"Monday, 19 February",M.R.P:,/sspa/click?ie=UTF8&spc=MToxNzQ0MzI5NTIwODkwMDQ2OjE3MDgxMjMxMDY6c3BfYnRmOjMwMDEzMjcxNDU5OTgzMjo6MDo6&url=%2FGuitar-Tailpiece-Guitars-Bridge-Replacement%2Fdp%2FB0BWYSZW1Y%2Fref%3Dsr_1_59%3Fkeywords%3DGUITAR%26qid%3D1708123106%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
299,BLUEBERRY,"BLUEBERRY B-D38, Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks - 38 Inch (Natural)","2,889",-,"Wednesday, 21 February",199,/sspa/click?ie=UTF8&spc=MToxNzQ0MzI5NTIwODkwMDQ2OjE3MDgxMjMxMDY6c3BfYnRmOjIwMDc4MzM2ODg4Nzk4OjowOjo&url=%2FBlueberry-B-D38-Acoustic-inbuilt-Strings%2Fdp%2FB07PCRZ1CD%2Fref%3Dsr_1_60%3Fkeywords%3DGUITAR%26qid%3D1708123106%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
300,Washburn,"Washburn 6 String Acoustic Guitar, Right (DFED)","17,490",-,"Tuesday, 20 February",1,/sspa/click?ie=UTF8&spc=MToxNzQ0MzI5NTIwODkwMDQ2OjE3MDgxMjMxMDY6c3BfYXRmOjMwMDExMTA0NzAzOTYzMjo6MDo6&url=%2FWashburn-String-Acoustic-Guitar-DFED%2Fdp%2FB001L8IIPO%2Fref%3Dsr_1_1%3Fkeywords%3DGUITAR%26qid%3D1708123106%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
301,Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","5,499",-,"Tuesday, 20 February","1,164",/sspa/click?ie=UTF8&spc=MToxNzQ0MzI5NTIwODkwMDQ2OjE3MDgxMjMxMDY6c3BfYXRmOjMwMDAxNTUzNzk3OTIzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsr_1_2%3Fkeywords%3DGUITAR%26qid%3D1708123106%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
302,Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","4,499",-,"Tuesday, 20 February","3,101",/sspa/click?ie=UTF8&spc=MToxNzQ0MzI5NTIwODkwMDQ2OjE3MDgxMjMxMDY6c3BfYXRmOjMwMDAxNTUwODk1NDEzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_3%3Fkeywords%3DGUITAR%26qid%3D1708123106%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
303,Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","9,999",-,"Tuesday, 20 February",653,/sspa/click?ie=UTF8&spc=MToxNzQ0MzI5NTIwODkwMDQ2OjE3MDgxMjMxMDY6c3BfYXRmOjIwMDU3MTkzMDU2MjA0OjowOjo&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_4%3Fkeywords%3DGUITAR%26qid%3D1708123106%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
304,Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small","1,999",-,"Tuesday, 20 February","14,217",/gp/bestsellers/musical-instruments/4654375031/ref=sr_bs_4_4654375031_1
305,Juârez,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","2,199",-,"Tuesday, 20 February","21,449",/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_6?keywords=GUITAR&qid=1708123106&sr=8-6
306,Yamaha,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)","7,400",-,"Saturday, 24 February","2,877",/gp/bestsellers/musical-instruments/4654376031/ref=sr_bs_6_4654376031_1
307,Intern,"Intern INT-38C-SB Linden Wood Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)","2,099",-,"Tuesday, 20 February","14,217",/gp/bestsellers/musical-instruments/4654375031/ref=sr_bs_7_4654375031_1
308,Yamaha,Yamaha FS80C 25 Incheses sprucewood The Ultimate Concert Body Cutaway Acoustic Guitar (Black) With Bajaao Gig-Bag,"8,830",-,"Tuesday, 20 February",54,/Ultimate-Concert-Cutaway-Acoustic-Bajaao/dp/B08WHWKKV5/ref=ice_ac_b_dpb?keywords=GUITAR&qid=1708123106&sr=8-9
